1, Aakre vald Tartumaa, 58.1223, 26.2894
2, Aaspere vald Virumaa, 59.5107, 26.5144
3, Abaja Pärnumaa, 58.61856, 24.27573
4, Abja vald Parnumaa, 58.0833, 25.4329
5, Abja Viljandimaa, 58.1249, 25.3491
6, Abja-Vanamõisa vald Pärnumaa, 58.120, 25.367
7, Abruka, 57.813, 21.965
8, Adavere vald Viljandimaa, 58.4167, 25.9277
9, Ahja mõis Tartumaa, 58.067, 26.369
10, Ahja vald Tartumaa, 58.154, 26.343
11, Aidu vald Viljandimaa, 58.5681, 25.6324
12, Aidu Viljandimaa, 58.526, 25.455
13, Aksi Tartumaa, 58.1918, 26.1701
14, Alatskivi vald Tartumaa, 58.6256, 27.0967
15, Alatskivi Tartumaa, 58.6273, 27.0512
16, Albu vald Jarvamaa, 58.9645, 25.5614
17, Albu vald Järvamaa, 58.96939, 25.69503
18, Aleksandri Võrumaa, 57.8007, 26.9797
19, Aleksandri vald Võrumaa, 57.6609, 27.0395
20, Alliku vald Jarvamaa, 58.882, 25.579
21, Allikukivi Pärnumaa, 58.4526, 24.4122
22, Ambla kihelkond, 59.2043, 25.6091
23, Ambla vald Jarvamaa, 59.2055, 25.5913
24, Ambla vald Järvamaa, 59.18514, 25.45403
25, Ambla Järvamaa, 59.161, 25.436
26, Anija mõis Harjumaa, 59.393, 25.168
27, Anija vald Harjumaa, 59.2816, 25.5108
28, Anija Harjumaa, 59.3121, 25.2684
29, Anna vald Järvamaa, 58.9815, 25.8872
30, Antsla vald Võrumaa, 57.8176, 26.5339
31, Are vald Parnumaa, 58.1915, 24.9337
32, Are vald Pärnumaa, 58.21324, 24.74398
33, Aru vald Tartumaa, 58.2873, 26.9073
34, Aru Tartumaa, 58.2578, 26.3845
35, Koeru, 58.9000, 25.5578
36, Aruküla Harjumaa, 59.3567, 25.0992
37, Arula vald Tartumaa, 58.0895, 26.0781
38, Asukula vald Laanemaa, 58.8753, 24.1587
39, Audru vald Parnumaa, 58.3044, 24.4844
40, Avanduse vald Viljandimaa, 58.6434, 25.7939
41, Avanduse vald Virumaa, 59.03498, 27.41915
42, Avinurme Tartumaa, 58.98264, 27.05523
43, Avinurme vald Tartumaa, 58.9689, 27.0112
44, Beja (Kolbergi) vald Alūksne (Marienburg), 57.400000, 27.233333
45, Breslavi Lati, 57.4555, 21.9504
46, Edise mõis Virumaa, 59.365, 26.675
47, Einmanni mõis Järvamaa, 58.9567, 26.3604
48, Einmanni vald Jarvamaa, 58.9644, 25.6359
49, Elistvere vald Tartumaa, 58.5353, 26.5356
50, Enge vald Pärnumaa, 58.3363, 24.8419
51, Erastvere Vorumaa, 57.7823, 27.0159
52, Erastvere vald Võrumaa, 57.88455, 26.86016
53, Esna vald Jarvamaa, 58.8574, 25.7536
54, Esna vald Järvamaa, 59.072, 25.708
55, Esna, 58.894, 25.150
56, Haabsaare Võrumaa, 57.722, 26.680
57, Haademeeste vald Pärnumaa, 58.12996, 24.41007
58, Haapajarv Soome, 61.84424, 24.07473
59, Haapsalu, 58.9386, 23.5408
60, Haaslava mõis Tartumaa, 58.21882, 26.77255
61, Haaslava Tartumaa, 58.5620, 26.6141
62, Hageri Harjumaa, 59.0417, 24.6197
63, Haimre, 59.300, 24.993
64, Hajala kihelkond, 58.582, 25.681
65, Halinga vald Parnumaa, 58.5781, 24.7617
66, Halinga vald Pärnumaa, 58.63135, 24.48761
67, Haljala vald Virumaa, 59.4579, 26.0549
68, Haljala, 59.4729, 26.1264
69, Halliste küla Viljandimaa, 58.1596, 25.3795
70, Hallistes Parnumaa, 58.2201, 25.1823
71, Hanila Läänemaa, 58.881, 23.680
72, Harjanurme vald Tartumaa, 58.2415, 26.8675
73, Harjanurme, 58.370, 26.837
74, Harjumaa, 59.323, 24.5569
75, Harkovi kubermang Venemaa, 50.0018, 36.2314
76, Harku vald Harjumaa, 59.4107, 24.5467
77, Heimtali mõis Viljandimaa, 58.27295, 25.28747
78, Heimtali vald Viljandimaa, 58.3547, 25.7269
79, Heinaste vald Parnumaa, 58.5622, 24.637
80, Hellamaa vald Muhu saar, 58.6034, 23.2506
81, Hellamaa vald Muhumaa, 58.6034, 23.2184
82, Hellamaa vald Saaremaa, 58.4160, 22.9116
83, Hellenurme vald Tartumaa, 58.2782, 26.4934
84, Helme Valgamaa, 58.0382, 25.7073
85, Helme Viljandimaa, 58.06267, 25.91797
86, Helme vald Valgamaa, 58.06267, 25.91797
87, Helme vald Viljandimaa, 58.00829, 25.67079
88, Helsingi Soome, 60.1699, 24.9384
89, Helsinki, 60.1699, 24.9384
90, Hiiu-Kõrgessaare vald Hiiumaa, 58.914, 22.662
91, Holdre mõis Viljandimaa, 58.3497, 25.7371
92, Holdre vald Valgamaa, 57.9066, 26.1191
93, Holdre Valgamaa, 57.776, 26.261
94, Holstre Viljandimaa, 58.0989, 25.5546
95, Holstre vald Viljandimaa, 58.1577, 25.3133
96, Holstre, 58.072, 25.524
97, Hummuli Valgamaa, 57.7863, 26.0058
98, Häädemeste Pärnumaa, 58.0907, 24.4592
99, Igaste m. Valgamaa, 57.88124, 26.00488
100, Illuka vald Virumaa, 59.2234, 27.5517
101, Ilmatsalu Tartumaa, 58.4047, 26.6281
102, Ilmjarve vald Tartumaa, 58.2257, 26.4853
103, Imavere vald Viljandimaa, 58.7088, 25.9229
104, Imavere Järvamaa, 58.853, 25.550
105, Imavere Viljandimaa, 58.7027, 25.4563
106, Ingliste vald Harjumaa, 58.7245, 25.4719
107, Ire (Irai) Liivi rannikul, 57.54501, 24.64027
108, Issaku Tartumaa, 58.2772114, 27.0226493
109, Jaara vald Parnumaa, 58.2787, 24.4222
110, Jaarja vald Pärnumaa, 58.3640, 24.6631
111, Jamburgi, 59.3683, 28.6078
112, Jaroslav Venemaa, 57.316, 39.733
113, Jarva-Jaani Kihelkond, 58.8872, 25.7212
114, Jarvakandi vald Harjumaa, 58.9115, 24.6184
115, Jarvamadise kihelkond, 59.1021, 23.6317
116, Joala vald Virumaa, 59.365, 26.675
117, Joelahtme vald Harjumaa, 59.506, 25.127
118, Jogeva vald Tartumaa, 58.7521, 26.3782
119, Johvi, 59.3594, 27.4212
120, Juuru vald Harjumaa, 59.0971, 24.7494
121, Järvamaa, 58.8859, 25.5603
122, Järve vald Virumaa, 59.139, 26.253
123, Järve Virumaa, 59.424, 27.022
124, Jõgeva Tartumaa, 58.74357, 26.39309
125, Jõgeva, 58.7463, 26.3941
126, Jõgevaste vald Valgamaa, 57.879, 26.193
